"Miljöskyddskostnader i industrin, miljoner kronor efter kostnadsslag, miljöområde och år, oregelb"

"kostnadsslag","miljöområde","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"totala miljöskyddskostnader","samtliga miljöområden",8512,8323,8935,8663,9364,8848,9589,9747,9539,10888,11725,12492,11373,11340,12644,13920,15449,17279,18051,21019
"totala miljöskyddskostnader","luft",2083,2004,2428,2323,2702,2297,2168,2527,2153,2702,3090,3929,3331,3248,2885,3343,3958,4163,4997,4499
"totala miljöskyddskostnader","vatten",2138,2463,2405,2277,2494,2343,2368,2391,2911,2988,3720,3644,3456,3753,4001,4342,5193,3818,5043,5728
"totala miljöskyddskostnader","avfall",2397,2095,2401,2051,2244,1906,2359,2240,2076,2417,2327,2333,2405,2325,2684,3791,3509,4663,4466,7022
"totala miljöskyddskostnader","annat miljöområde än luft, vatten eller avfall",1895,1762,1701,2013,1925,2303,2694,2590,2400,2781,2588,2586,2182,2015,3073,2441,2790,4634,3547,3771
"totala miljöskyddskostnader","- därav biodiveristet och landskap",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,543,765,2375,829,927
"totala miljöskyddskostnader","- mark och grundvatten",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,364,656,621,797,803
"miljöskyddsinvesteringar","samtliga miljöområden",3474,3280,4005,3234,3863,3035,3079,3479,3105,4502,4769,5414,4825,4920,5229,5216,5383,7133,7451,9209
"miljöskyddsinvesteringar","luft",1574,1442,1840,1675,2020,1447,1428,1787,1454,2020,2304,3227,2608,2577,2044,1834,2203,2858,3692,2853
"miljöskyddsinvesteringar","vatten",1177,1159,1231,954,1091,804,858,876,937,1290,1686,1548,1405,1474,1457,1462,1691,846,1399,2027
"miljöskyddsinvesteringar","avfall",469,374,613,373,388,411,347,299,227,501,217,213,469,443,654,832,511,724,814,2694
"miljöskyddsinvesteringar","annat miljöområde än luft, vatten eller avfall",254,304,321,231,364,373,446,517,486,691,562,426,343,427,1074,1086,979,2704,1547,1635
"miljöskyddsinvesteringar","- därav biodiveristet och landskap",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,376,467,2004,513,534
"miljöskyddsinvesteringar","- mark och grundvatten",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33,60,21,44,31
"löpande kostnader för miljöskydd","samtliga miljöområden",5038,5044,4930,5429,5501,5814,6510,6268,6435,6386,6956,7078,6549,6420,7415,8704,10066,10146,10600,11810
"löpande kostnader för miljöskydd","luft",508,561,588,647,682,850,740,740,698,682,786,702,723,671,841,1509,1755,1305,1305,1646
"löpande kostnader för miljöskydd","vatten",961,1303,1174,1323,1403,1539,1510,1514,1973,1698,2034,2096,2051,2279,2544,2880,3502,2972,3644,3701
"löpande kostnader för miljöskydd","avfall",1928,1722,1789,1677,1856,1495,2013,1941,1849,1916,2110,2120,1936,1882,2030,2959,2998,3939,3652,4328
"löpande kostnader för miljöskydd","annat miljöområde än luft, vatten eller avfall",1641,1457,1380,1782,1561,1930,2247,2073,1914,2090,2026,2160,1839,1588,1999,1355,1811,1930,2000,2136
"löpande kostnader för miljöskydd","- därav biodiveristet och landskap",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167,298,371,316,393
"löpande kostnader för miljöskydd","- mark och grundvatten",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,331,596,600,753,772
