"Nettotillförsel av el-energi, GWh efter produktionsslag och år"

"produktionsslag","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"total tillförsel av el",168799,163344,156821,164470,169558,157786,160937,158715,146971,159844,160009,174124,161872,163808,168230,166786,172377,171862,174700,172725
"vattenkraft",78428,65827,53112,60103,72032,61145,65634,68595,64973,66773,66661,78466,60993,63380,74861,61764,64676,61777,64908,71856
"pumpkraft",-10,-16,-25,-18,-22,-29,-43,-46,-84,-44,-52,-54,-58,-46,-55,-51,-44,42,61,77
"kärnkraft",69211,65550,65454,75000,69764,64983,64279,61266,49987,55626,58026,61393,63597,62185,54347,60542,63008,65801,64334,47262
"konventionell värmekraft, fjärrvärme",5120,5650,6694,7382,6736,7249,7341,7402,9484,12276,10180,9015,8839,7151,7568,8803,8703,8806,8924,6480
"konventionell värmekraft, industri",3918,4552,4637,4620,4821,5142,5707,6063,5894,6242,5790,6111,5640,5583,5613,5527,5986,5914,6716,6378
"vindkraft",482,608,679,850,949,988,1432,1996,2485,3502,6101,7165,9842,11234,16268,15479,17609,16623,19847,27526
"solkraft",..,..,..,..,..,..,..,..,..,..,13,19,35,47,97,143,230,391,663,1035
"konventionell värmekraft, kondensproduktion",462,1033,1882,887,680,749,510,666,444,517,801,318,300,411,227,278,307,289,168,271
"konventionell värmekraft, gasturbin- och annan produktion",24,30,102,0,22,12,26,19,17,21,9,12,11,11,11,14,8,17,9,13
"import",11164,20110,24286,15646,14574,17547,16051,12754,13771,14932,12481,11680,12674,13852,9294,14287,11896,12202,9070,11827
